Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RP","Pesticides Use","660","Anguilla","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","66","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","660","Anguilla","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","66","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","660","Anguilla","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","66","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","660","Anguilla","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","66","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","028","Antigua and Barbuda","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","250","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","028","Antigua and Barbuda","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","251","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","028","Antigua and Barbuda","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","247","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","028","Antigua and Barbuda","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","229","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","241520","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","262507","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","262507","A","Official figure","Official figure"
"RP","Pesticides Use","032","Argentina","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","262507","E","Estimated value","Estimated Value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","639","A","Official figure","Official figure"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","914","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","892","E","Estimated value","Estimated Value"
"RP","Pesticides Use","051","Armenia","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","1012","E","Estimated value","Estimated Value"
"RP","Pesticides Use","533","Aruba","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","458","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","533","Aruba","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","491","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","533","Aruba","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","480","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","533","Aruba","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","449","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","654","Ascension, Saint Helena and Tristan da Cunha","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","7","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","654","Ascension, Saint Helena and Tristan da Cunha","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","6","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","654","Ascension, Saint Helena and Tristan da Cunha","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","5","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","654","Ascension, Saint Helena and Tristan da Cunha","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","3","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","036","Australia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","120949","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","036","Australia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","141387","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","036","Australia","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","161826","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","036","Australia","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","182264","E","Estimated value","Estimated Value"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5566","X","Figure from external organization","Taken from Eurostat sales database"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5791","X","Figure from external organization","Taken from Eurostat sales database"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","6069","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","040","Austria","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","5251","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","543","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","543","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","543","E","Estimated value","Estimated Value"
"RP","Pesticides Use","031","Azerbaijan","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","543","E","Estimated value","Estimated Value"
"RP","Pesticides Use","044","Bahamas","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","178","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","044","Bahamas","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","178","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","044","Bahamas","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","178","E","Estimated value","Estimated Value"
"RP","Pesticides Use","044","Bahamas","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","178","E","Estimated value","Estimated Value"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","31","A","Official figure","The reported values ??correspond to the difference in the tons in the form of active ingredient of synthetic pesticides that were imported minus the tons in the form of active ingredient of synthetic pesticides that were exported"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","30","A","Official figure","The reported values ??correspond to the difference in the tons in the form of active ingredient of synthetic pesticides that were imported minus the tons in the form of active ingredient of synthetic pesticides that were exported"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","14","A","Official figure","The reported values ??correspond to the difference in the tons in the form of active ingredient of synthetic pesticides that were imported minus the tons in the form of active ingredient of synthetic pesticides that were exported"
"RP","Pesticides Use","048","Bahrain","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","18","A","Official figure","Official figure"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","15506","A","Official figure","Official figure"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","15506","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","15506","E","Estimated value","Estimated Value"
"RP","Pesticides Use","050","Bangladesh","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","15506","E","Estimated value","Estimated Value"
"RP","Pesticides Use","052","Barbados","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","73","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","052","Barbados","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","68","A","Official figure","Official figure"
"RP","Pesticides Use","052","Barbados","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","68","E","Estimated value","Estimated Value"
"RP","Pesticides Use","052","Barbados","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","68","E","Estimated value","Estimated Value"
"RP","Pesticides Use","112","Belarus","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","4589","A","Official figure","Official figure"
"RP","Pesticides Use","112","Belarus","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","4117","A","Official figure","Official figure"
"RP","Pesticides Use","112","Belarus","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","4231","A","Official figure","Official figure"
"RP","Pesticides Use","112","Belarus","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","4853","A","Official figure","Official figure"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5677","X","Figure from external organization","Taken from Eurostat sales database"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5866","X","Figure from external organization","Taken from Eurostat sales database"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","5190","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","056","Belgium","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","4801","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","084","Belize","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","1335","A","Official figure","Official figure"
"RP","Pesticides Use","084","Belize","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1123","A","Official figure","Official figure"
"RP","Pesticides Use","084","Belize","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","1331","A","Official figure","Official figure"
"RP","Pesticides Use","084","Belize","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","1496","E","Estimated value","Estimated Value"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5624","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5049","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","6403","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","204","Benin","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","7133","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","060","Bermuda","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","150","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","060","Bermuda","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","147","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","060","Bermuda","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","139","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","060","Bermuda","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","124","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","160","A","Official figure","Official figure"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","174","A","Official figure","Official figure"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","181","A","Official figure","Official figure"
"RP","Pesticides Use","064","Bhutan","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","153","E","Estimated value","Estimated Value"
"RP","Pesticides Use","068","Bolivia (Plurinational State of)","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","19295","A","Official figure","Official figure"
"RP","Pesticides Use","068","Bolivia (Plurinational State of)","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","18307","X","Figure from external organization","Figure from international organizations"
"RP","Pesticides Use","068","Bolivia (Plurinational State of)","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","19174","E","Estimated value","Estimated Value"
"RP","Pesticides Use","068","Bolivia (Plurinational State of)","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","15785","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","2723","A","Official figure","Official figure"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","2723","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","2723","E","Estimated value","Estimated Value"
"RP","Pesticides Use","070","Bosnia and Herzegovina","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","2723","E","Estimated value","Estimated Value"
"RP","Pesticides Use","072","Botswana","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","1193","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","072","Botswana","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1386","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","072","Botswana","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","1405","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","072","Botswana","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","1272","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","685746","A","Official figure","Official figure"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","719507","E","Estimated value","Estimated Value"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","800652","E","Estimated value","Estimated Value"
"RP","Pesticides Use","076","Brazil","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","800652","E","Estimated value","Estimated Value"
"RP","Pesticides Use","092","British Virgin Islands","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","11","E","Estimated value","Estimated Value"
"RP","Pesticides Use","092","British Virgin Islands","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","092","British Virgin Islands","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","092","British Virgin Islands","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","17","E","Estimated value","Estimated Value"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","286","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","289","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","242","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","096","Brunei Darussalam","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","167","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","4226","A","Official figure","Official figure"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","4482","X","Figure from external organization","Taken from Eurostat sales database"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","4385","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","100","Bulgaria","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","3430","A","Official figure","Taken from Eurostat sales database"
"RP","Pesticides Use","854","Burkina Faso","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","2849","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","854","Burkina Faso","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","3038","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","854","Burkina Faso","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","3498","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","854","Burkina Faso","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","3838","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","108","Burundi","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","50","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","108","Burundi","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","50","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","108","Burundi","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","50","E","Estimated value","Estimated Value"
"RP","Pesticides Use","108","Burundi","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","50","E","Estimated value","Estimated Value"
"RP","Pesticides Use","132","Cabo Verde","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","5","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","132","Cabo Verde","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","5","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","132","Cabo Verde","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","5","E","Estimated value","Estimated Value"
"RP","Pesticides Use","132","Cabo Verde","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","5","E","Estimated value","Estimated Value"
"RP","Pesticides Use","116","Cambodia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","15273","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","116","Cambodia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","17264","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","116","Cambodia","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","18810","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","116","Cambodia","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","19305","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","120","Cameroon","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","10661","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","120","Cameroon","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","9906","I","Value imputed by a receiving agency","Imputed value"
"RP","Pesticides Use","120","Cameroon","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","9906","E","Estimated value","Estimated Value"
"RP","Pesticides Use","120","Cameroon","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","9906","E","Estimated value","Estimated Value"
"RP","Pesticides Use","124","Canada","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","92960","A","Official figure","Official figure"
"RP","Pesticides Use","124","Canada","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","97692","A","Official figure","Official figure"
"RP","Pesticides Use","124","Canada","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","95645","A","Official figure","Official figure"
"RP","Pesticides Use","124","Canada","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","95645","E","Estimated value","Estimated Value"
"RP","Pesticides Use","136","Cayman Islands","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","644","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","136","Cayman Islands","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","577","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","136","Cayman Islands","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","624","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","136","Cayman Islands","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","576","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","140","Central African Republic","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","63","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","140","Central African Republic","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","204","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","140","Central African Republic","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","199","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","140","Central African Republic","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","260","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","148","Chad","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","49","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","148","Chad","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","50","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","148","Chad","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","52","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","148","Chad","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","52","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","152","Chile","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","14129","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","152","Chile","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","16997","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","152","Chile","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","17611","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","152","Chile","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","17659","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","258758","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","244863","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","235724","E","Estimated value","Estimated Value"
"RP","Pesticides Use","159","China","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","229026","E","Estimated value","Estimated Value"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","55","A","Official figure","Official figure"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","45","A","Official figure","Official figure"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","50","A","Official figure","Official figure"
"RP","Pesticides Use","344","China, Hong Kong SAR","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","55","A","Official figure","Official figure"
"RP","Pesticides Use","446","China, Macao SAR","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","310","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","446","China, Macao SAR","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","393","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","446","China, Macao SAR","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","408","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","446","China, Macao SAR","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","426","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","156","China, mainland","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","247844","A","Official figure","Official figure"
"RP","Pesticides Use","156","China, mainland","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","233876","A","Official figure","Official figure"
"RP","Pesticides Use","156","China, mainland","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","224717","A","Official figure","Official figure"
"RP","Pesticides Use","156","China, mainland","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","217996","A","Official figure","Official figure"
"RP","Pesticides Use","158","China, Taiwan Province of","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","10549","E","Estimated value","Estimated Value"
"RP","Pesticides Use","158","China, Taiwan Province of","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","10549","E","Estimated value","Estimated Value"
"RP","Pesticides Use","158","China, Taiwan Province of","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","10549","E","Estimated value","Estimated Value"
"RP","Pesticides Use","158","China, Taiwan Province of","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","10549","E","Estimated value","Estimated Value"
"RP","Pesticides Use","170","Colombia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","39324","A","Official figure","Official figure"
"RP","Pesticides Use","170","Colombia","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","78231","A","Official figure","Official figure"
"RP","Pesticides Use","170","Colombia","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","78231","A","Official figure","Official figure"
"RP","Pesticides Use","170","Colombia","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","19419","A","Official figure","Official figure"
"RP","Pesticides Use","174","Comoros","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","33","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","174","Comoros","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","37","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","174","Comoros","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","40","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","174","Comoros","5157","Agricultural Use","1357","Pesticides (total)","2023","2023","t","40","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","178","Congo","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","t","724","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","178","Congo","5157","Agricultural Use","1357","Pesticides (total)","2021","2021","t","1488","E","Estimated value","Estimated using net trade"
"RP","Pesticides Use","178","Congo","5157","Agricultural Use","1357","Pesticides (total)","2022","2022","t","2198","E","Estimated value","Estimated using net trade"
